"JOB1","DEM1","DEM2","DEM3","DEM4","DEM5","FAM1","FAM2","FAM3","FEED1","FEED2","FEED3","FEED4","FEED5","FEED6","FEED7","FEEDBACK"
"Lawyer","Male","White","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The ability to not talk to a human. ","AI, can't understand humans as well as a human can. You can learn more in a conversation with a person then watching a video of them.","I don't think it was accurate as if I am able to go back and perfect what I am saying it doesn't show my true ability.","It made sense to me. Maybe add more details about the company to answer some of the questions. ","Some information could be included to make the inferences more accurate. ","How much information is given about the company.","I would only experience human I believe. ",""
"Artist manager","Female","White","18","Student","Some college, but no degree","Somewhat unfamiliar","Yes","Familiar","I did not really like the virtual interview, as there was no clear way to interact with the employer. I don't feel that this was an accurate way to go about hiring someone either, they have as many opportunities to change their answer as they'd like without the company's knowledge. This would leave room for too many applicants giving false impressions of themselves.","I'm not sure I fully understand the question, but I don't think they are able to pick up on human-like qualities as well as a real person.","I would feel that a robot conducting my interview is not nearly as accurate towards the understanding of my character, all it would take into account is the accuracy of my answers.","I think the interviews in themselves were clear, for some of the questions I was a little confused as to how we were supposed to know the answers based on description. For example the ones that kind of asked if people liked working there, I was unsure how exactly I was supposed to know that information just based off of an interview.","","More information about the specific company would help with answering particular questions.","I this is asking if I would participate in an interview in either of these ways, yes, I would take any opportunity possible to achieve my dream career. ",""
"Therapist","Male","White","19","Unemployed looking for work,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","I felt that the fact that the second interview didn't allow for the actual person to be seen for who they were and instead was just a score with a name to the company. The first interview made me feel like my own individual and that I was being considered for the job because of who I was as well as how I answered the questions.","No.","I felt that the second interview was an inaccurate representation of myself and was also unfair to me. I wasn't able to talk with my interviewer to better understand the company and its goals. The first interview made me feel like they were interviewing me as a person instead of as a score that was calculated by a computer ","Yes, it was completely understandable","I can't really think of any","I think this study is good the way it is structured currently","I would might experience the human interview process",""
"Lawyer","Male","White","18","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","none","yes","I feel it was accurate because it was based on how I interpreted the questions","Yes, I would not change anything","none","nothing","no, I would prefer human",""
"Artificial Intelligence Project Manager","Male","White","18","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The lack of sufficient two-way communication for the interview was concerning.","I do not think that any of my identities could be threatened by AI or Human judgement.","I do not think that the interview was an accurate assessment of my ability because an underdeveloped AI was grading it and I do not know the content of the questions.","The interview process explained in the story made sense to me and was easy to understand.","The content of some of the questions was missing from the interview process explained in the story.","I would give more description of the interviews.","I think that there is a chance that I would experience both interview processes if I was applying for my dream job in the real world.","Thank you."
"General Manager of the Seattle Storm","Female","White","18","Unemployed looking for work,Student","Some college, but no degree","Somewhat familiar","No","Somewhat familiar","The AI interview gave me some concern. because you're not getting the chance to understand the person, you need to meet them in person to get a feel for what their values are and who they are as a person. ","Yes, I think my identity could be threatened by AI judgement because AI is just going to do as it's told, and it's not really going to care about who I am as a person. ","The AI interview was not an accurate assessment of my ability because it was just recording myself answering the questions, not learning who I am as a person and what my values are. ","The interview process made sense to me","Nothing","I would not like the AI interview","I know I would definitely experience the human interview process if I were applying for my dream job in the real world, I don't think society is at the point yet for AI interviews, but I could be wrong. ","Thank you!"
"architecture","Female","Asian","19","Student","Some college, but no degree","Somewhat familiar","No","Very unfamiliar","","yes","Everyone's on-the-spot performance is different, and one interview cannot fully evaluate a person.","yes。For those who have not been interviewed, the process description is very vague, so you can insert pictures to make it easier to understand.","no","Have a better understanding of the traditional and new forms of interview.","yes","no question"
"Genetic Counselor","Male","White","19","Employed part time,Student","Associates Degree","Somewhat familiar","Yes","Somewhat unfamiliar","I think the part about the AI interview would be just a little concerning, since it sounds like a real person wouldn't even be making the decision, so you may not be seen or could be graded incorrectly. ","no","I believe the interview is an accurate assessment of your ability. As always, you can't tell everything from an interview, but I do believe that first impressions are important as well as work ethic, so this can be seen better through an in person interview. ","I think they did make sense. ","","I wouldn't change anything about this study. I definitely like the 2 different interview aspects, especially as AI is becoming more and more relevant in society. this could be the future of interviews, so it is important to get opinions and ways to better improve these methods. ","I think I would like the human better. The reason I say this is because I feel as I said, that first impressions are very important, and especially when applying for a job you want to make a career out of, you really want to make connections and see if the leadership is right for you. ",""
"United States Army Military Intelligence Officer","Male","Asian","21","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Very familiar","As someone who has done both the online and in-person interview processes before, the online process feels much less genuine. Although it does offer the opportunity to change recordings, it feels very weird to be talking to a camera.","Yes, AI judgement just seems like too new of a thing for it to function properly. Human judgement, although not perfect, does have much more emotions which can be more fair in an aspect.","Personally, I felt that the online interview was not a good assessment of ability because there was not a real standard of seeing who grades you. The in-person one was more fair in the sense that you were able to reason with an actual person.","Yes, the two interview processes made sense to me, as I have actually completed both in real life.","For the virtual interview, the inclusion of the site you would be using would be great to know beforehand. That would have allowed the potential employee to research how an interview would have been conducted. For instance, I have used HireVue in the past. Knowing that I had to use HireVue beforehand allowed me to research how an interview works on that platform.","None","I have already experienced both AI and Human interview processes in the real world.",""
"CIA","Male","Other","21","Employed part time,Student","Some college, but no degree","Somewhat familiar","No","Very familiar","N/A","yes","Not a Lot of room for feedback","yes","N/A","N/A","Yes",""
"Engineering consultant ","Male","White","20","Student","Some college, but no degree","Unfamiliar","Yes","Somewhat familiar","All aspects about risk taking and equal treatment of interviews.","yes","I think it was accurate but fear for the fairness of the thing as a whole","yes it did","none","I would add more features to make it fair ","yes","None"
"a mathematician","Female","White","18","Unemployed looking for work,Student","Some college, but no degree","Familiar","Yes","Somewhat unfamiliar","none","I think that my identities are more likely to be threatened by a human than AI","I feel like interviews do not properly assess abilities because you can respond to a question without being truthful.","yes, you could go more in depth about what type of questions you are being asked during the interview ","information about the questions being asked and what they pertain to","just more information about the questions asked during the interview","i would probably experience human interviewing",""
"Pilot","Male","White","23","Employed part time,Student","Bachelor's Degree","Somewhat familiar","Yes","Familiar","I do not like the fact that the AI interview does not consider a persons interpersonal skills which are essential to almost any job. If it is just grading words, it also does not take into account how the candidate presented themselves which is customer facing roles is also essential.","Yes, I think AI judgement would undermine my interpersonal skills and focus only on how well I can prepare a response. ","Like mentioned earlier, I do not think AI interviews factor in the most crucial aspects of what makes a candidate a good employee.  Cooperation, flexibility, collaborative skills, etc are all things that would be lost in an AI interview.  I enjoy in person interviews because it gives me the chance to create a dialogue with the interviewer.  ","For the most part is was self-explanatory. I think some of the questions were random and I am not sure how I can judge the companies ethics and strong-suits based off of just the interview description.","What were we supposed to be judging the companies themselves based off of? Just the interview description? My interview experience has very little sway in how hard I work for a company.","Just a little more explanation about what we are judging in some of the questions.","I have experienced video interviews followed by in person but they were not AI judged. The hiring manager watched them after.  I hope I do not go through an AI interview for my dream job of a pilot. ",""
"Equine Journlist","Female","White","18","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","I wanted to make sure that the person conducting the interview was easy to talk to and ask any questions that I had.","Somewhat? But I don't lose sleep over it.","I thought it wasn't complete accurate because not all interviews are held in business buildings and sometimes they are not even planned.","It makes to total sense from a story or the readers perspective but I don't see myself doing this.","I can't think about anything because you need to keep details out to ensure the person taking the survey can use their imagination.","Maybe make each interview story different so that you get different answers from different people all in different scenarios.","Because I'm only 18 years old, I wouldn't be surprised if I had a job interview with AI in the near future.","N/A"
"Professional Athlete","Male","White","20","Employed part time,Student","Some college, but no degree","Very unfamiliar","Yes","Somewhat familiar","The fact that the first scenario was done completely through the internet without any communication with another person. A more effective interview I feel would result from an actual in person conversation with another individual such as described in scenario 2","No","Some people are naturally good interviewers but sometimes these people are not actually good at their jobs. The same can be said for a person who is not a good interviewer but may be able to perform the job very well","I thought everything was clearly stated","N/A","Making the interviewers feel more real. Both scenarios felt very forced and as if they were following an algorithm ","Most likely the human interview process",""
"Fashion Designer/Stylist","Female","White","20","Employed part time","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The AI interviewing raises concerns that personality and individuality are not measured as well as in traditional interviewing. However, traditional interviewing could have more biases throughout the process.","I am too unfamiliar with the technology. To my knowledge, humans will have more genuine judgment and AI will only apply baseline judgments. ","AI technology is not an accurate form of interviewing because there is no personal connection with an employer. ","It made sense.","N/A","N/A","Yes. I would only experience AI to say I have and to understand more.","n/a"
"Renewable Energy Engineer","Female","Asian","20","Employed part time,Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","The concern of the first interviewer not knowing if I was done answering the question. ","I think threatened by both. ","","Yes, the process explained was simple and easy to follow","","I would not change anything.","I do think AI will be at that point when I start applying for my dream job. I would experience the human interview experience process.",""
"physical therapist ","Female","White","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","I was concerned with any possible bias in the second interview","not really","I think that accurately judging key characteristics and abilities using AI is a common process and is generally accurate for the first levels of interviews. ","Yes","none","add another virtual interview with a person such as a zoom","yes",""
"Veterinarian ","Female","White","18","Unemployed looking for work,Student","High School or GED","Very unfamiliar","Yes","Familiar","","No","N/A","N/A","N/A","N/A","Human ",""
"LCSW","Female","Asian","26","Student","Bachelor's Degree","Somewhat familiar","Yes","Familiar","With AI interview, I was concerned with not being able to ask question without sending an email. ","Human","I felt the AI one is more accurate since I would be able to re-record my answers and make it presentable. ","Yes","I didn't see any information that seems to be missing.","nothing","I can see AI interview could happen in the future",""
"Baker","Female","Black or African American","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","Only considering one's word for word answer and nothing else (like skills or personality)","The AI is only looking for Key words and not fully considering the person","","It makes sense ","None","nothing","I feel like more companys will start using AI interview but should stay with human to human ",""
"physicians assistant ","Female","Other","19","Employed part time,Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","none","I have never experienced discrimination based on my race or other identity","I don't think an interview alone is a proper assessment of ones abilities ","yes the explanation was self explanatory ","none","no aspect","most likely in person only","33085"
"film producer ","Female","Asian","20","Student","Some college, but no degree","Somewhat familiar","No","Unfamiliar","communication and resume ","yes","I'm not sure, but the people the interviewer chooses tend to be more oriented to the company's own needs.","Yes, I would like to see the result at the end of the process for each one.","no","no","yes, in the future. ",""
"Freelance Writer","Female","Asian","20","Student","Some college, but no degree","Somewhat familiar","No","Very unfamiliar","I wish the hypothetical gave more information and perspective of the interview process so that I can give more confident answers.","No, but the programming in an AI or the background from a human can lead to unconscious biasness.","Interviews only assess my description of my abilities, but it does not look at my actual abilities.","I am unfamiliar with interviews, so a more descriptive story would help my imagination.","I did not know how to tell if the company was ""reflective"" based on the interview.","More description in the story and the question.","I wanted to be a freelance writer, so I will probably receive more traditional interviews.",""
"Occupational Therapist","Female","White","18","Employed part time","Some college, but no degree","Unfamiliar","Yes","Somewhat familiar","none","No but I think it loses the aspect of humanity and judgment","Since you can go back and redo your answers to the questions, it isnt authentic or a true representation of you as a person or how you would be at the job","Yes, no complaints ","none","nothing","I would think, with the field that I want to go into, a human interview would be more likely",""
"Aerospace Engineer","Male","White","20","Employed part time","Some college, but no degree","Somewhat familiar","No","Somewhat familiar","","AI could not perceive some things about me like a human. Bias from a human could also alter this as well.","I do not think questions alone can assess someone's ability","Yes, it made sense","Some of the specific questions","Nothing","I would encounter a human interview with follow-up quiz questions. That are then evaluated be a human.",""
"Gene Therapy","Female","White","18","Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","For the AI interview, it is very easy for a person to make up things and not be their true self, since there can be multiple video attempts. My main concern was the computer giving someone a score based off what it is looking for. Those aspects could very easily not be met based off of what the computer hear's, but someone may have actually done very well at that interview if a real person was present.","It is possible for identity to be threatened by human judgement, but not necessarily AI judgement. Most of the time, humans have unintentional bias, which can threaten identity. ","The AI was not an accurate assessment because I don't think a computer and taking videos as many times as you want can reflect someone's work or abilities. The in person interview was an accurate assessment because the interviewer is able to get an idea of that person and their abilities. ","I thought it all made sense. ","I feel like adding some examples of specific questions that would definitely be asked at any interview would help.","Nothing, I thought it was explained and formatted very well. ","Yes",""
"Strategic Consultant","Female","White","21","Employed full time","Some college, but no degree","Somewhat unfamiliar","Yes","Familiar","","yes","AI cannot test your emotional intelligence","it was okay","if I can ask questions","","yes",""
"Environmental Educator & Program Planner","Female","White","18","Student","Some college, but no degree","Somewhat unfamiliar","Yes","Somewhat familiar","Speaking to an artificial intelligence would feel less real and seem less people oriented ","I feel like people can not truly be unbiased and an AI is programed by humans","I do not think the AI interview was an accurate assessment because the people making employment decisions will not get the chance to really learn my personality ","It made sense ","","","Most likely human ",""
"Entrepreneur ","Male","Asian","18","Student","Bachelor's Degree","Somewhat familiar","No","Somewhat familiar","Basing scores based only on content. ","It is possible in the future but currently not a big concern.","Content can be rehearsed and other aspects of the person could be relevant depending on the position.","It made sense.","-","Giving a whole week in the AI interview seems a bit too much.","Human most probably",""
"Author","Female","Asian","20","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","The lack of an actual interviewer reading your expression.","I think there are situations where an AI or Human can threaten or bolster my identity, depending on the job and company.","Some people might be very good at interviews and elaborating their skills verbally while some are better at showing their skills, especially ones that may be difficult to describe.","I think everything made sense; but if something had to be changed, maybe include some very general interview questions for those unfamiliar with the interview process","Maybe some (general) example questions.","Not really anything.","More likely a human interview, but I do know some companies use algorithms to filter out people's resumes when they initially apply which may be a form of AI.",""
"Actuary","Prefer not to respond","White","19","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Somewhat familiar","It didn't mention what types of questions were asked which made it hard to judge the effectiveness of the interview.","Yes women always have to work harder. It's harder to succeed if you aren't born into a wealthy family.","Interviews, whether in person or AI, can never truly determine your value or effectiveness at a potential job.","Make it less wordy. Maybe some bullet points. People like to be lazy. It was good overall though.","What types of questions were being asked.","I might shorten it a little bit.","I'm not sure.",""
"My dream job would be a botanical garden designer. I would want to be in charge of a garden room, and have the ability to design it in any way I see fit.","Female","White","18","Unemployed not looking for work,Student","High School or GED","Unfamiliar","Yes","Somewhat familiar","The first situation, with the AI interview felt as if the company didn't care for you as a person. An interview should also be a time for the prospective employee to get to know the company on a more personal level. With AI technology, there is no personality involved.","I felt as if the AI did not see me as a human being.","The AI interview couldn't read my body language, or the big smile on my face. Actions speak louder than words, and in the second interview the person could see my actions, and truly get to know who I am as a person.","The stories were clear to understand.","The specific questions asked during the interview were missing.","","Unfortunately, I think AI seems to be the direction most companies are heading towards, however if given the option, I would absolutely choose in-person.",""
"Physicist ","Female","White","20","Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","The use of AI as an interview conductor, which can automatically determine if a person will be considered for employment, is worrisome as this would lead to structural bias and discrimination caused by the code. This does not allow for any interpretation beyond what the programmers coded. While in person interviews are also prone to bias, there is the capability to change your mind on a specific criteria. As well as the increased communication possible with an in person interview.","I think that most programs would favor straight, white, cis men and would result in the discrimination towards anyone who responds in ways that do not align with this. ","The in person interview has more capability for thinking and changing prospective qualities. This allows for people to be judged on their interview and not by a set criteria. There is room for bringing on people who are different than their initial expectations.","The interview process made sense to me.","","","I think I would experience a human interview. ",""
"musician","Male","White","19","Employed part time,Student","Some college, but no degree","Somewhat familiar","Yes","Familiar","The constraints of the second interview worries me about the future of the workplace in general.","Not really but anything can happen","The in person one is better because it is a real person that is relatable","somewhat at least for the most part","not much","N/a","Most likely human interview processes",""
"Archivist","Female","Asian","21","Employed part time","Bachelor's Degree","Somewhat familiar","Yes","Familiar","AI judging the responses ","Yes","The AI cannot measure your ability accurately enough compared to a real person","Yes","Nothing","Open ended questions","Yes",""
"Forensic Psychologist ","Female","White","18","Student","Some college, but no degree","Familiar","No","Unfamiliar","The first interview allowed for two-way communication, and allowed for me to address my concerns, however I do not believe it was free from bias, since no person can be 100% unbiased. The other interview made me feel more comfortable. I liked that I was able to redo my answers and have time to think about my answers, however it did not allow me to communicate with the interviewer since my answers were being reviewed by AI technology. While the technology aspect is more easy-going, I think it's important be able to address questions and concerns with the company.","Personally, I do not think I would be subject to judgement based on my identities. With AI, the content of answers are judged, so the threat of bias is not a factor. However, with human judgement, there is always the chance that the interview could be biased or prejudiced against certain identities/people.","Personally, I deal with chronic anxiety in my day to day life. So I think and interview with an AI would be less stress-inducing and a better fit. However, I do believe that the an interview with another person has increased benefits for both the interviewee and the interviewer.","No, the process was straight forward and easy to understand.","I think both interview processes had a good amount of information, as of right now I have no suggestions.","Nothing at this time.","No, I think I would be applying in a human interview process, since psychologists main job is to be able to analyze and communicate well with others.",""
"veterinarian","Female","Asian","21","Student","Bachelor's Degree","Somewhat familiar","No","Very unfamiliar","In face-to-face communication with the interviewer, I would be very nervous for my lack of experience, and I would worry about saying wrong words and forgetting important information. However, the interview with artificial intelligence gives me more opportunities to show my best answers, at least I don't have to regret for my dissatisfied answers.","I think the judgment of artificial intelligence is based on the requirements of the company, as well as program entry, so not human or artificial intelligence will be questioned my identity, but related to the company requirement, of course, if the interviewer himself for racial discrimination, is certainly would inevitably have discrimination to the interviewer, if not to the artificial intelligence discrimination, however the interviewer, Ultimately, candidates have to work with people, and if there is discrimination there will be.","I am not a person who is good at expression. I prefer to show my ability through practical actions","Will ai ask the same questions as HR, and on what criteria will candidates be graded?","Specific scoring criteria for artificial intelligence","Add specific ai interview questions to let readers feel the difference between the two","yes","In fact, if I need to apply for a position at a company, I will hardly consider the impact of the interview on my choice, because I have my eye on the company, not the interview. If I like this company, I will try any kind of interview. The interview is only one time, but I have to work in this company all the time. The interview is this company and I get to know each other, but I believe that even the use of artificial intelligence interview can give me the chance to ask questions, now artificial intelligence can give me to after-sales customer service, even if sometimes badly, but with the development of science and technology to be better, and I'm not also choose artificial customer service opportunities. For general questions, the system can automatically give me answers. For personalized questions, I can ask HR, which can save time for both parties."
"Physician Assistant ","Female","White","19","Student","High School or GED","Unfamiliar","Yes","Familiar","lack of communication ","yes","It's asking the same questions for every interviewer, although every interviewer will have different abilities, but some questions may not highlight these abilities for every single interviewer ","It was easy to understand, but maybe add more information about the reputation of the company or background story ","information regarding the reputation or background story of the company ","N/A","yes ",""
"Paralegal","Female","White","19","Student","Some college, but no degree","Familiar","Yes","Somewhat familiar","","","","","","Give a more specific hypothetical, not ask what the participant's dream job is. It would be easier to describe the interview questions and their relevancy to the position.","human",""
